,RestaurantName,AddressVicinity,Type,PriceLevel,Rating,BusinessStatus,LatLong
0,Starbucks,"5185 MacArthur Boulevard #104, Washington","['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,4.0,OPERATIONAL,"38.926726,-77.10282"
1,Bambu Asian Cuisine,"5101 MacArthur Boulevard, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.1,OPERATIONAL,"38.9253577,-77.1012764"
2,DC Boathouse,"5441 MacArthur Boulevard Northwest, Washington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.3,OPERATIONAL,"38.93004199999999,-77.106494"
3,SWEET AGAVE BAR & GRILL,"5105 MacArthur Boulevard Northwest, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",,4.5,OPERATIONAL,"38.925322,-77.101407"
4,Salt & Pepper Restaurant,"5125 MacArthur Boulevard, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.5,OPERATIONAL,"38.9255556,-77.1016667"
5,Et Voila !,"5120 MacArthur Boulevard, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",,4.6,OPERATIONAL,"38.92540630000001,-77.1023518"
6,Bistro Aracosia,"5100 MacArthur Boulevard, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.9,OPERATIONAL,"38.92493049999999,-77.1016669"
7,Chen's Gourmet,"5117 MacArthur Boulevard Northwest, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",,4.0,OPERATIONAL,"38.9255488,-77.1015188"
8,Au Bon Pain,"5255 Loughboro Road Northwest, Washington","['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.0,3.1,CLOSED_TEMPORARILY,"38.9371226,-77.10726389999999"
9,Black Coffee,"4885 MacArthur Boulevard Northwest, Washington","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",,4.5,OPERATIONAL,"38.9178981,-77.09695409999999"
10,Go Popolo SPK,"4885 MacArthur Boulevard Northwest, Washington","['restaurant', 'food', 'point_of_interest', 'establishment']",,4.9,OPERATIONAL,"38.9178727,-77.0967806"
11,Joe's Place Pizza & Pasta,"5555 Lee Highway, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.3,OPERATIONAL,"38.8959767,-77.1403151"
12,District Taco,"5723 Lee Highway, Arlington","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.5,OPERATIONAL,"38.8951876,-77.1433243"
13,Lost Dog Cafe,"5876 Washington Boulevard, Arlington","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.6,OPERATIONAL,"38.88535640000001,-77.1419818"
14,Subway,"4817 Lee Highway, Arlington","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,2.0,OPERATIONAL,"38.8968876,-77.1259532"
15,Taco Bell,"4923 Lee Highway, Arlington","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.8,OPERATIONAL,"38.8966933,-77.1286918"
16,Lebanese Taverna,"5900 Washington Boulevard, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,4.4,OPERATIONAL,"38.8856145,-77.1422699"
17,Elevation Burger,"Lee & Harrison Shopping Center, 2447 North Harrison Street, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,3.8,OPERATIONAL,"38.89739489999999,-77.1382211"
18,KFC,"4901 Lee Highway, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.3,OPERATIONAL,"38.8967312,-77.12830249999999"
19,Papa John's Pizza,"2108 North Glebe Road, Arlington","['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,3.1,OPERATIONAL,"38.8960867,-77.12294349999999"
20,Cowboy Cafe,"4792 Lee Highway, Arlington","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,4.4,OPERATIONAL,"38.8967156,-77.1252583"
