,RestaurantName,AddressVicinity,PriceLevel,Rating,BusinessStatus,LatLong
0,Lost Dog Cafe - South Arlington,"2920 Columbia Pike, Arlington",2.0,4.4,OPERATIONAL,"38.86227119999999,-77.0875937"
1,Bob & Edith's Diner,"2310 Columbia Pike, Arlington",1.0,4.4,OPERATIONAL,"38.863615,-77.08224"
2,Burger King,"3627 Columbia Pike, Arlington",1.0,4.0,OPERATIONAL,"38.8607373,-77.09486849999999"
3,Sicilian Pizza,"923 South Walter Reed Drive, Arlington",1.0,4.4,OPERATIONAL,"38.8630417,-77.0868574"
4,Papa John's Pizza,"3233a Columbia Pike Ste A, Arlington",1.0,3.8,OPERATIONAL,"38.861805,-77.09105009999999"
5,William Jeffrey's Tavern,"2301 Columbia Pike, Arlington",2.0,4.3,OPERATIONAL,"38.86376799999999,-77.08304"
6,THE SALSA ROOM,"2619 Columbia Pike, Arlington",2.0,3.8,OPERATIONAL,"38.8630915,-77.0858982"
7,Subway,"3045 Columbia Pike, Arlington",1.0,3.7,OPERATIONAL,"38.86239519999999,-77.0890048"
8,Thai Square,"3217 Columbia Pike, Arlington",2.0,4.5,OPERATIONAL,"38.861785,-77.09064699999999"
9,Ledo Pizza,"1035 South Edgewood Street, Arlington",2.0,4.0,OPERATIONAL,"38.86205,-77.08604000000001"
10,Domino's Pizza,"2602 Columbia Pike, Arlington",1.0,2.6,OPERATIONAL,"38.8627267,-77.08539429999999"
11,Potomac Restaurant & Lounge,"900 South Orme Street, Arlington",2.0,2.7,OPERATIONAL,"38.8669238,-77.0727009"
12,Atilla's Restaurant,"2705 Columbia Pike, Arlington",1.0,4.5,OPERATIONAL,"38.8629259,-77.0860326"
13,L.A. Bar & Grill,"2530 Columbia Pike, Arlington",1.0,4.4,OPERATIONAL,"38.8628666,-77.0846558"
14,Taqueria el Poblano,"2401 Columbia Pike, Arlington",2.0,4.1,OPERATIONAL,"38.8636214,-77.0834988"
15,Dama Pastry & Cafe,"1505 Columbia Pike, Arlington",2.0,4.5,OPERATIONAL,"38.8670391,-77.07070039999999"
16,Top's China,"2520 Columbia Pike, Arlington",1.0,4.2,OPERATIONAL,"38.8629037,-77.0843869"
17,Dunkin',"3100 Columbia Pike, Arlington",1.0,3.4,OPERATIONAL,"38.8617752,-77.0888611"
18,Shell,"3100 Columbia Pike, Arlington",2.0,3.5,OPERATIONAL,"38.86193,-77.0887298"
19,Bangkok 54 Restaurant,"2919 Columbia Pike, Arlington",2.0,4.5,OPERATIONAL,"38.8625917,-77.08764719999999"
20,Peking Gourmet Inn,"6029 Leesburg Pike, Falls Church",2.0,4.4,OPERATIONAL,"38.855266,-77.13963460000001"
21,Olive Garden Italian Restaurant,"3548 South Jefferson Street #52, Falls Church",2.0,4.2,OPERATIONAL,"38.84699069999999,-77.11894110000001"
22,Bamian Restaurant,"5634 Leesburg Pike, Falls Church",2.0,4.0,OPERATIONAL,"38.84938229999999,-77.1262003"
23,la Madeleine French Bakery & Cafe Bailey's Crossroads,"5861 Crossroads Center Way, Bailey's Crossroads",2.0,4.2,OPERATIONAL,"38.85223,-77.130158"
24,Raaga Restaurant,"5872 Leesburg Pike, Falls Church",2.0,4.1,OPERATIONAL,"38.8532219,-77.13343809999999"
25,Subway,"5898 Leesburg Pike, Falls Church",1.0,3.9,OPERATIONAL,"38.8544364,-77.13504669999999"
