agent_name,agent_office
Brian Wilson,Exp Realty
Nancy Higgins,Long & Foster Alexandria/Kingstowne Centre
Brian Klotz,Ttr Sotheby'S International Realty
Karen Graves,"Weichert, Realtors - Vienna"
Shoukoufa Aboubakri,Samson Properties
Maggie Altomare,Prosperity Realty Llc
N Jay Thierry,Century 21 New Millennium
Veronica Moscoso,Solutions Realty Group Llc
Jonathan Karpa,Compass
Aidan Duffy,Compass
Norman Domingo,Xrealty.Net Llc
Anthony Cammarota,"Re/Max Distinctive Real Estate, Inc."
Bud Boulineaux,Re/Max Premier
Kay Houghton,Keller Williams Realty
Timothy Brewster,"Weichert, Realtors - Front Royal"
Jean Matich,Century 21 New Millennium
Jean Matich,Century 21 New Millennium
Daniel Pierson,"Mcenearney Associates, Inc."
Cathy Baumbusch,Re/Max Executives
Jim Fox,Long & Foster Burke/Fairfax Station/Clifton
Karon Ricker,"Pearson Smith Realty, Llc"
Omar S Sherzai,Long & Foster Arlington
Laurie Mensing Agent,Long & Foster Mclean
William Gossett,Washington Fine Properties
Keith Herrmann,Kw United
Cathy Poungmalai,Frankly Real Estate Inc
Brian Siebel,Compass
Caroline Roberts,"Weichert, Realtors - Mclean"
Uzma Samee,Samson Properties
Candee Currie,Redfin Corporation
Sheri Grant,Ttr Sotheby'S International Realty
Lisa Clarke,Coldwell Banker Realty - Bethesda
Maggie Altomare,Prosperity Realty Llc
Lilian Jorgenson,Long & Foster Mclean
Tina Cheung,"Exp Realty, Llc"
Casey O Neal,Compass
Roxanne Southern,Samson Properties
Linda Murphy,"Mcenearney Associates, Inc."
Jaenho Oh,Kw United
Louise Molton,Re/Max West End
Adam Isaacson,Ttr Sotheby'S International Realty
Kelly Stock,"Era Teachers, Inc."
Keri Shull,Optime Realty
Raya Fridental,Redfin Corporation
Heather Sand,Rlah Real Estate
Michael Sobhi,Fairfax Realty Select 
Diane P Schline,Century 21 Redwood Realty
Kris Walker,Kw United
Margaret Benghauser,"Mcenearney Associates, Inc."
Michael Roschke,Keller Williams Realty
Margaret Ross,Keller Williams Realty
Keri Shull,Optime Realty
Kathy Oneal,Re/Max Premier
Keri Shull,Optime Realty
Shane Canny,Long & Foster Arlington
Rosemary Ramos,Redfin Corporation
Bob Hotaling,Re/Max Allegiance- Alexandria West
Christine Graham,Keller Williams Realty - Metro Center - Alexandria Old Town
Real Estate Agent,Rlah Real Estate
Julie Tremblay,Re/Max Allegiance- Franconia
Vicky Pappalardo,Coldwell Banker Realty - Arlington
Monika Ortiz,Nesbitt Realty
Rachel Levey,Compass
Herbert Riggs,Compass
Angela Kaiser,Redfin Corporation
Tammy Irby,Samson Properties
Joanne Ritchick,Long & Foster Arlington
Karen Close,Century 21 New Millennium
Brian Klotz,Ttr Sotheby'S International Realty
Laura Schwartz,"Mcenearney Associates, Inc."
Timothy Clasen,Re/Max Allegiance- Mclean
Amy Shafer,Keller Williams Realty
Jeff Wilson,Ttr Sotheby'S International Realty
Betsy Twigg,"Mcenearney Associates, Inc."
George Lodge,Coldwell Banker Realty - Reston
The Tom Team,Samson Properties
Antonio Nguyen,Keller Williams Capital Properties
Vanessa Hardee,Long & Foster Georgetown
Robert Jones,Samson Properties
Kim Peele,"Mcenearney Associates, Inc."
