X,Y,OBJECTID,CODE,NAME,SYMBOL,SENIORCENTER,ADDRESS
11878042.62,7003942.38,1,5,Barrett Elementary School,ES,0,4401 HENDERSON RD
11869967.88,7019959.34,2,5,Jamestown Elementary School,ES,0,3700 N DELAWARE ST
11872958.5,7001148.27,3,5,Kenmore Middle School,MS,0,200 S CARLIN SPRINGS RD
11885107.01,7011102.89,4,5,Key Elementary School,ES,0,2300 KEY BLVD
11869021.3,7011670.54,5,6,Lee Comm. Center,CC,1,5722 LEE HWY
11875123.1,6999486.11,6,14,Long Branch Nature Center,NC,0,625 S CARLIN SPRINGS RD
11884549.53,7004803.1,7,5,Long Branch Elementary School,ES,0,33 N FILLMORE ST
11877509.47,7003987.44,8,6,Lubber Run Comm. Center,CC,0,300 N PARK DR
11874489.83,7022244.22,9,6,Madison Comm. Center,CC,1,3829 N STAFFORD ST
11868145.15,7005867.76,10,5,McKinley Elementary School,ES,0,1030 N MCKINLEY RD
11866838.97,7013862.63,11,5,Nottingham Elementary School,ES,0,1601 WILSON BLVD
11890042.46,6995922.83,12,5,Oakridge Elementary School,ES,0,1414 24TH ST S
11880715.87,7010261.12,13,5,Arlington Science Focus School,AES,0,1501 N LINCOLN ST
11870332.9,7007531.37,14,5,Swanson Middle School,MS,0,5800 N WASHINGTON BLVD
11877397.58,7016252.47,15,5,Taylor Elementary School,ES,0,2600 N STUART ST
11864545.04,7010798.62,16,5,Tuckahoe Elementary School,ES,0,6550 26TH ST N
11879914.92,6994767.21,17,5,Claremont Elementary School,AES,0,4700 S CHESTERFIELD RD
11871280.44,7003830.07,18,5,Ashlawn Elementary School,ES,0,5950 8TH RD N
11867952.7,7017178.81,19,5,Williamsburg Middle School,MS,0,3600 N HARRISON ST
11869900.92,7014709.23,20,5,Yorktown High School,HS,0,5201 N 28TH ST
11882000.9,7014723.98,21,7,Woodmont,OC,0,2422 N FILLMORE ST
11882905.55,6991879.73,22,5,Abingdon Elementary School,ES,0,3035 S ABINGDON ST
11879323.6,6999817.12,23,5,Barcroft Elementary School,ES,0,625 S WAKEFIELD ST
11886275.23,7013627.37,24,6,Dawson Terrace Comm.,CC,0,2133 N TAFT ST
11875227.96,7006393.99,25,5,Arlington Traditional School,AES,0,855 N EDISON ST
11885408.61,6990079.26,26,6,Fairlington Comm. Center,CC,0,3308 S STAFFORD ST
11894053.04,6993396.26,27,4,Water Pollution Control Plant,CO,0,3402 S GLEBE RD
11873633.64,7009767.82,28,8,Arlington Hospital,H,0,1701 N GEORGE MASON DR
11885651.55,7010665.6,29,3,Arl. Courthouse Metro,MOS,0,2100 WILSON BLVD
11882084.03,6997948.27,30,5,Randolph Elementary School,ES,0,1306 S QUINCY ST
11874043.19,6999384.43,31,8,Arlington Urgent Care,H,0,601 S CARLIN SPRINGS RD
11890210.06,6995054.88,32,5,Gunston Middle School,MS,0,2700 S LANG ST
11890530.89,6994948.64,33,6,Gunston Center,CC,0,2700 S LANG ST
11880852.89,7007224.54,34,7,Arlington Art Center,OC,0,3550 WILSON BLVD
11883910.41,7014412.03,35,7,Ft. Smith Park,OC,0,2411 24TH ST N
11879477.73,7008095.02,36,2,Central Library,LB,0,1015 N QUINCY ST
11885663.54,7010177.6,37,4,Court Square West,CO,0,1400 N UHLE ST
11865283.17,7008493.27,38,3,East Falls Church Metro,MOS,0,2001 N SYCAMORE ST
11878195.56,7007214.44,39,3,Ballston Metro,MOS,0,4230 FAIRFAX DR
11880485.02,7007616.69,40,3,Virginia Square Metro,MOS,0,3600 FAIRFAX DR
11882760.36,7009166.22,41,3,Clarendon Metro,MOS,0,3100 WILSON BLVD
11889382.94,7012478.16,42,3,Rosslyn Metro,MOBS,0,1850 N MOORE ST
