agent_name,agent_office,property_ID,Listing_ID,price,baths_half,baths_full,baths,beds,size_in_sqft,lot_size_in_sqft,prop_type,prop_sub_type,city,Line,postal_code,lat,lon,neighborhood_name,Listing_Url,thumbnail
Brian Wilson,Exp Realty,M5500279509,2923013207,143000,NA,1,1,0.0,383,NA,condo,condos,Arlington,1121 Arlington Blvd Apt 538,22209,38.893617,-77.069808,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1121-Arlington-Blvd-Apt-538_Arlington_VA_22209_M55002-79509,https://ap.rdcpix.com/1e794bf73c8cf67d4be2eb59919d4719l-m3325670256x.jpg
Nancy Higgins,Long & Foster Alexandria/Kingstowne Centre,M5104477933,2923012277,465000,1,1,2,2.0,910,NA,condo,condos,Arlington,2100 Lee Hwy Apt 537,22201,38.8959,-77.08374,Colonial Village,https://www.realtor.com/realestateandhomes-detail/2100-Lee-Hwy-Apt-537_Arlington_VA_22201_M51044-77933,https://ap.rdcpix.com/3e137f9465ca73fb65f8c4b8f6585f10l-m134998858x.jpg
Brian Klotz,TTR Sotheby's International Realty,M6005267147,2923011333,675000,1,2,3,2.0,1606,NA,condo,condos,Arlington,1101 S Arlington Ridge Rd Apt 1106,22202,38.86395,-77.06558,Pentagon City,https://www.realtor.com/realestateandhomes-detail/1101-S-Arlington-Ridge-Rd-Apt-1106_Arlington_VA_22202_M60052-67147,https://ap.rdcpix.com/e87e151d46edb663a5730e56694e1a21l-m4107807950x.jpg
Karen Graves,"Weichert, Realtors - Vienna",M5235542161,2922999367,295000,NA,1,1,1.0,613,NA,condo,condos,Arlington,2911G S Woodley St Unit 7,22206,38.841482,-77.09692,South Arlington,https://www.realtor.com/realestateandhomes-detail/2911G-S-Woodley-St-7_Arlington_VA_22206_M52355-42161,https://ap.rdcpix.com/52a6e9c3f63f47a1a94fc77cd88d346bl-m3390478948x.jpg
Shoukoufa Aboubakri,SAMSON PROPERTIES,M6672416906,2922992679,424900,NA,1,1,1.0,615,NA,condo,condos,Arlington,3830 9th St N Apt 205W,22203,38.881,-77.10602,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/3830-9th-St-N-Apt-205W_Arlington_VA_22203_M66724-16906,https://ap.rdcpix.com/a2e7ad799af1216331ad252fdd048facl-m3471248946x.jpg
Maggie Altomare,Prosperity Realty Llc,M5666313651,2922985008,1100000,NA,NA,0,0.0,2408,8314,multi_family,NA,Arlington,2626 Washington Blvd,22201,38.879355,-77.089856,North Arlington,https://www.realtor.com/realestateandhomes-detail/2626-Washington-Blvd_Arlington_VA_22201_M56663-13651,https://ap.rdcpix.com/3b6d049bc9a49b222a35f0adb97d54a6l-m1076308736x.jpg
N Jay Thierry,CENTURY 21 New Millennium,M6673272464,2922988790,897000,NA,3,3,4.0,2066,10500,single_family,NA,Arlington,4532 26th St N,22207,38.907247,-77.120877,Donaldson Run,https://www.realtor.com/realestateandhomes-detail/4532-26th-St-N_Arlington_VA_22207_M66732-72464,https://ap.rdcpix.com/97dee77d1936e869273efddfa21f2465l-m5252750x.jpg
Veronica Moscoso,Solutions Realty Group LLC,M6219437148,2922988805,620000,NA,2,2,4.0,720,2802,single_family,NA,Arlington,2001 S Lorton St,22204,38.851913,-77.089195,Nauck,https://www.realtor.com/realestateandhomes-detail/2001-S-Lorton-St_Arlington_VA_22204_M62194-37148,https://ap.rdcpix.com/d940a612e25299847c9086a69907b338l-m3805382359x.jpg
Jonathan Karpa,Compass,M6188185910,2922988803,699900,1,1,2,3.0,1186,6000,single_family,NA,Arlington,5732 3rd St S,22204,38.863542,-77.127135,Glencarlyn,https://www.realtor.com/realestateandhomes-detail/5732-3rd-St-S_Arlington_VA_22204_M61881-85910,https://ap.rdcpix.com/3d0f252de560d8730a46331cbcd932efl-m543767918x.jpg
Aidan Duffy,Compass,M6636610633,2922988811,379000,NA,2,2,2.0,1150,NA,condo,condos,Arlington,4500 S Four Mile Run Dr Apt 603,22204,38.85391,-77.10504,Columbia Forest,https://www.realtor.com/realestateandhomes-detail/4500-S-Four-Mile-Run-Dr-Apt-603_Arlington_VA_22204_M66366-10633,https://ap.rdcpix.com/6af221130ba452e1b376dda9dd84f8b5l-m2044281566x.jpg
