,property_ID,Listing_ID,price,baths_half,baths_full,baths,beds,size_in_sqft,lot_size_in_sqft,prop_type,prop_sub_type,city,Line,postal_code,lat,lon,neighborhood_name,Listing_Url,thumbnail,LatLong,NearestBus,BusDistance,NearestMetro,MetroDistance,NearestCC,CCDistance,NearestLIB,LIBDistance,NearestSchools,SchoolsDistance,RATING,Num_bars,Mean_Rating_bars,Mean_PriceLevel_bars,Top_5_Rated_bars,Num_restaurants,Mean_Rating_restaurants,Mean_PriceLevel_restaurants,Top_5_Rated_restaurants
0,M6279126335,2922290856,270000,,2.0,2,2.0,1078.0,,condo,condos,Arlington,4600 S Four Mile Run Dr Apt 618,22204,38.85472,-77.10704,Columbia Forest,https://www.realtor.com/realestateandhomes-detail/4600-S-Four-Mile-Run-Dr-Apt-618_Arlington_VA_22204_M62791-26335,https://ap.rdcpix.com/b4353299b31df9ac25561f7690933102l-m2668983530x.jpg,"38.85472,-77.10704",S George Mason Dr + #3713,1.042,Ballston Metro,1.908,Arlington Mill Community Center,0.241,Glencarlyn Library,1.186,Barcroft Elementary School,0.482,3.0,0.0,,,,8.0,3.6374999999999997,1.2857142857142858,Blanca's Snow Cones - Shaved Ice; Pan American Bakery; Pike Bolivian Restaurant; Cinthia's Bakery II LLC; Little Caesars Pizza
1,M5654908132,2922291030,384900,,2.0,2,2.0,1129.0,,condo,condos,Arlington,4500 S Four Mile Run Dr Apt 1023,22204,38.85391,-77.10504,Columbia Forest,https://www.realtor.com/realestateandhomes-detail/4500-S-Four-Mile-Run-Dr-Apt-1023_Arlington_VA_22204_M56549-08132,,"38.85391,-77.10504",S George Mason Dr + #3713,1.064,Ballston Metro,1.982,Barcroft Sport & Fitness Center,0.28,Columbia Pike Library,1.149,Randolph Elementary School,0.408,3.128,0.0,,,,8.0,3.6374999999999997,1.2857142857142858,Blanca's Snow Cones - Shaved Ice; Pan American Bakery; Pike Bolivian Restaurant; Cinthia's Bakery II LLC; Little Caesars Pizza
2,M9628320822,2922290220,635000,1.0,2.0,3,3.0,1584.0,,condo,townhomes,Arlington,957 S Rolfe St Unit B,22204,38.86623,-77.075565,Penrose,https://www.realtor.com/realestateandhomes-detail/957-S-Rolfe-St-B_Arlington_VA_22204_M96283-20822,https://ap.rdcpix.com/ac3f6340a5ac512b57957b5e789fec68l-m3633057152x.jpg,"38.86623,-77.075565",Pentagon City Station + Bus Bay C,0.91,Pentagon City Metro,0.843,Carver Community Center,0.373,Columbia Pike Library,0.703,Hoffman-Boston Elementary School,0.373,3.8080000000000003,3.0,3.6999999999999997,2.0,William Jeffrey's Tavern; Taqueria el Poblano; Potomac Restaurant & Lounge,6.0,4.033333333333333,1.8333333333333333,Dama Pastry & Cafe; Bob & Edith's Diner; William Jeffrey's Tavern; Starbucks; Taqueria el Poblano
3,M5368795817,2922288316,329800,,1.0,1,2.0,1020.0,,condo,condos,Arlington,1830 Columbia Pike Apt 302,22204,38.864385999999996,-77.075836,South Arlington,https://www.realtor.com/realestateandhomes-detail/1830-Columbia-Pike-Apt-302_Arlington_VA_22204_M53687-95817,https://ap.rdcpix.com/9f76c303b48006b7445086f3d3530378l-m1210650799x.jpg,"38.864385999999996,-77.075836",Pentagon City Station + Bus Bay C,0.898,Pentagon City Metro,0.828,Carver Community Center,0.288,Columbia Pike Library,0.676,Hoffman-Boston Elementary School,0.288,3.8080000000000003,5.0,4.02,1.8,The Celtic House Irish Pub & Restaurant; L.A. Bar & Grill; William Jeffrey's Tavern; Taqueria el Poblano; Potomac Restaurant & Lounge,10.0,4.2,1.6,Burrito Bros; The Celtic House Irish Pub & Restaurant; Dama Pastry & Cafe; Bob & Edith's Diner; L.A. Bar & Grill
4,M5458295160,2922286592,136000,,1.0,1,1.0,514.0,,condo,condos,Arlington,1021 Arlington Blvd Apt 516,22209,38.8912,-77.06872,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1021-Arlington-Blvd-Apt-516_Arlington_VA_22209_M54582-95160,,"38.8912,-77.06872",N Moore St + Rosslyn Station Bus Bay C,0.345,Rosslyn Metro,0.403,Dawson Terrace Comm.,0.948,Plaza Library & Arlington Shop,0.904,Nottingham Elementary School,0.494,4.76,3.0,3.8,2.0,Continental Beer Garden; City House; american legion,8.0,4.025,1.625,Quarterdeck; Chipotle Mexican Grill; Chopt Creative Salad Co.; Roti Modern Mediterranean; Starbucks
5,M9400195696,2922286015,299000,,1.0,1,1.0,711.0,,condo,condos,Arlington,1315 S Walter Reed Dr Unit 15103,22204,38.858509999999995,-77.087307,South Arlington,https://www.realtor.com/realestateandhomes-detail/1315-S-Walter-Reed-Dr-15103_Arlington_VA_22204_M94001-95696,https://ap.rdcpix.com/201b57d6b27d4c7f1b699912b8172460l-m2918345051x.jpg,"38.858509999999995,-77.087307","Shirlington Station, Bay E",1.311,Pentagon City Metro,1.463,Walter Reed Comm. Center,0.087,Columbia Pike Library,0.407,Patrick Henry Elementary School,0.526,,8.0,4.2875000000000005,1.8333333333333333,Tobacco King & Vape King; The Celtic House Irish Pub & Restaurant; Caspi Restaurant and Lounge; L.A. Bar & Grill; William Jeffrey's Tavern,41.0,4.131707317073171,1.5,Pho Harmony & Grill; Tortas Y Tacos La Chiquita; Burrito Bros; The Celtic House Irish Pub & Restaurant; Atilla's Restaurant
6,M5054774093,2922278278,380000,,2.0,2,2.0,1415.0,,condo,condos,Arlington,N Taylor St Unit 2012,22203,38.895179,-77.113615,Cherrydale,https://www.realtor.com/realestateandhomes-detail/2012-N-Taylor-St_Arlington_VA_22207_M50547-74093,https://ap.rdcpix.com/ddfa2eebdc5096d23a8f8ea4ad7765b1l-m2818335116x.jpg,"38.895179,-77.113615",N Glebe Rd + 20th St,0.409,Ballston Metro,0.911,Langston Brown Comm. Center,0.709,Cherrydale Library,0.338,Dorothy Hamm Middle School,0.389,,1.0,4.1,2.0,Thirsty Bernie,10.0,4.279999999999999,1.7142857142857142,Cafe Colline; Philippine Oriental Market & Deli; Gaijin Ramen Shop; Lebanese Taverna Market; Old Dominion Pizza Company
7,M5954659477,2922276373,1348000,2.0,2.0,4,4.0,2539.0,9184.0,single_family,,Arlington,855 N Harrison St,22205,38.877648,-77.126627,Bluemont,https://www.realtor.com/realestateandhomes-detail/855-N-Harrison-St_Arlington_VA_22205_M59546-59477,https://ap.rdcpix.com/6296248559ed726cb5b38fd1f1c58c9el-m239568273x.jpg,"38.877648,-77.126627","N George Mason Drive, SB @ 16th Street N, NS",0.71,Ballston Metro,0.825,Lubber Run Comm. Center,0.784,Glencarlyn Library,0.971,Arlington Traditional School,0.3,4.968,0.0,,,,5.0,4.279999999999999,1.4,La Union Restaurant; Pupatella; Layalina Restaurant; Super Pollo Charcoal Chicken; McDonald's
8,M9624323077,2922272968,590000,,2.0,2,2.0,1224.0,,condo,townhomes,Arlington,1114 N Taylor St Apt A,22201,38.884855,-77.113327,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/1114-N-Taylor-St-Apt-A_Arlington_VA_22201_M96243-23077,https://ap.rdcpix.com/b4f745eb3c14d3daa73cb9984b52f9d7l-m1944401045x.jpg,"38.884855,-77.113327",Washington Blvd + Stafford St,0.151,Ballston Metro,0.202,Lubber Run Comm. Center,0.863,Central Library,0.339,Washington-Liberty High School,0.284,4.28,18.0,4.1,2.0,Ballston Service Station; The Bronson Bierhall; The Melting Pot; Crafthouse; First Down Sports Bar & Grill,31.0,4.093333333333333,1.8076923076923077,Stageplate Bistro - Arlington; Big Buns Damn Good Burgers; Rus Uz - Arlington; The Melting Pot; Crafthouse
9,M5292138703,2922272517,649900,1.0,1.0,2,2.0,934.0,,condo,condos,Arlington,1201 N Garfield St Apt 810,22201,38.88685,-77.09375,North Arlington,https://www.realtor.com/realestateandhomes-detail/1201-N-Garfield-St-Apt-810_Arlington_VA_22201_M52921-38703,https://ap.rdcpix.com/44bbbc5d535cec4cf6b486f4f13df490l-m3732840635x.jpg,"38.88685,-77.09375",Wilson Blvd + Veitch St,0.546,Clarendon Metro,0.082,Lee Comm. Center,0.641,Plaza Library & Arlington Shop,0.528,Arlington Science Focus School,0.512,4.832,40.0,4.385,1.9259259259259258,"Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; O'Sullivans Sundays-Free Comedy Open Mic Arlington,VA; Screwtop Wine Bar",48.0,4.185416666666666,1.7916666666666667,Screwtop Wine Bar; Ambar Clarendon; Bakeshop; Earl's Sandwiches; Genji Express
10,M5796383163,2922271837,740000,,2.0,2,3.0,1812.0,6000.0,single_family,,Arlington,5721 7th St N,22205,38.873326,-77.130672,Bluemont,https://www.realtor.com/realestateandhomes-detail/5721-7th-St-N_Arlington_VA_22205_M57963-83163,https://ap.rdcpix.com/d432c9295cf2c187c588e084cfecf386l-m1095289745x.jpg,"38.873326,-77.130672","N George Mason Drive, SB @ 16th Street N, NS",1.01,Ballston Metro,1.154,Lubber Run Comm. Center,0.914,Glencarlyn Library,0.719,Ashlawn Elementary School,0.293,4.3919999999999995,0.0,,,,3.0,4.366666666666666,1.5,La Union Restaurant; Allspice Catering; Layalina Restaurant
11,M5450293285,2922268627,475000,,2.0,2,2.0,745.0,,condo,condos,Arlington,3007 S Buchanan St Apt A1,22206,38.838190000000004,-77.09898000000001,Fairlington,https://www.realtor.com/realestateandhomes-detail/3007-S-Buchanan-St-Apt-A1_Arlington_VA_22206_M54502-93285,https://ap.rdcpix.com/c1ad3a9df31a99138d9c2c6f3c48abe7l-m2309230175x.jpg,"38.838190000000004,-77.09898000000001",Shirlington Station,0.636,Pentagon City Metro,2.664,Fairlington Comm. Center,0.667,Shirlington Library,0.488,Abingdon Elementary School,0.202,3.1519999999999997,0.0,,,,1.0,4.4,1.0,Perfect Pita
12,M6027602378,2922266605,595000,,1.0,1,2.0,898.0,,condo,condos,Arlington,1800 Wilson Blvd Unit 422,22201,38.89342,-77.0791,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1800-Wilson-Blvd-Unit-422_Arlington_VA_22201_M60276-02378,https://ap.rdcpix.com/02d6ff61f0afe4600dfa4819dcf2eb17l-m3941765950x.jpg,"38.89342,-77.0791","Wilson Blvd, WB @ N Quinn Street, FS",0.058,Arl. Courthouse Metro,0.345,Dawson Terrace Comm.,0.46,Plaza Library & Arlington Shop,0.383,Nottingham Elementary School,0.138,4.76,17.0,4.2250000000000005,1.875,Verre Wine Bar; Ireland's Four Courts; MeJana - Lebanese Cuisine; Quinn's; Ragtime,20.0,4.209999999999999,1.7894736842105263,Mele Bistro; Five Guys; Ireland's Four Courts; MeJana - Lebanese Cuisine; Quarterdeck
13,M5886549930,2922266616,1500000,1.0,3.0,4,5.0,3976.0,7969.0,single_family,,Arlington,5315 10th St N,22205,38.881584000000004,-77.128323,Bluemont,https://www.realtor.com/realestateandhomes-detail/5315-10th-St-N_Arlington_VA_22205_M58865-49930,https://ap.rdcpix.com/1a1e1a540277625adab37439a3bc05a9l-m2172553593x.jpg,"38.881584000000004,-77.128323","N George Mason Drive, SB @ 16th Street N, NS",0.432,Ballston Metro,0.859,Langston Brown Comm. Center,1.005,Westover Library,0.815,Arlington Traditional School,0.367,4.968,0.0,,,,5.0,4.279999999999999,1.4,La Union Restaurant; Pupatella; Layalina Restaurant; Super Pollo Charcoal Chicken; McDonald's
14,M6142805071,2922263484,299900,,2.0,2,2.0,1089.0,,condo,condos,Arlington,4501 Arlington Blvd Apt 518,22203,38.869279999999996,-77.10876,Buckingham,https://www.realtor.com/realestateandhomes-detail/4501-Arlington-Blvd-Apt-518_Arlington_VA_22203_M61428-05071,https://ap.rdcpix.com/dfd9f4ccb6064668fc328f1a287b9fc4l-m910435984x.jpg,"38.869279999999996,-77.10876",N Pershing Dr + N Glebe Rd,0.349,Ballston Metro,0.902,Lubber Run Comm. Center,0.342,Glencarlyn Library,1.001,Barcroft Elementary School,0.528,3.0,3.0,4.266666666666667,2.0,Crystal Thai Restaurant; Ricky's Pub & Grill; Outback Steakhouse,13.0,3.853846153846154,1.5384615384615385,Crystal Thai Restaurant; El Paso Cafe; Pupuseria Dona Azucena; Perla Del Valle; Ravi Kabob House
15,M5222658386,2922263482,979000,,3.0,3,3.0,2236.0,7948.0,single_family,,Arlington,1008 N Jefferson St,22205,38.880441999999995,-77.13208900000001,Westover Village,https://www.realtor.com/realestateandhomes-detail/1008-N-Jefferson-St_Arlington_VA_22205_M52226-58386,https://ap.rdcpix.com/eb9b6d41882ed4d3092755b2a1634464l-m1060901745x.jpg,"38.880441999999995,-77.13208900000001","N George Mason Drive, SB @ 16th Street N, NS",0.549,Ballston Metro,1.067,Langston Brown Comm. Center,1.118,Westover Library,0.684,Swanson Middle School,0.412,4.552,0.0,,,,2.0,4.4,1.5,La Union Restaurant; Layalina Restaurant
16,M5634634084,2922254255,199900,,1.0,1,2.0,997.0,,condo,condos,Arlington,5111 8th Rd S Apt 110,22204,38.858678000000005,-77.11587,Arlington Mill,https://www.realtor.com/realestateandhomes-detail/5111-8th-Rd-S-Apt-110_Arlington_VA_22204_M56346-34084,https://ap.rdcpix.com/a45aafed7b6c132137541417dc49c2f9l-m2955931284x.jpg,"38.858678000000005,-77.11587",Rt 7 Leesburg PK + Baileys Crossroads S/C,1.002,Ballston Metro,1.624,Arlington Mill Community Center,0.31,Glencarlyn Library,0.638,Barcroft Elementary School,0.479,3.0,0.0,,,,6.0,3.433333333333333,1.2,Blanca's Snow Cones - Shaved Ice; Cinthia's Bakery II LLC; Little Caesars Pizza; McDonald's; Ginger Beef
17,M5814013253,2922254271,950000,1.0,3.0,4,4.0,2888.0,4688.0,condo,duplex_triplex,Arlington,2005 S Lincoln St,22204,38.851352,-77.087436,Nauck,https://www.realtor.com/realestateandhomes-detail/2005-S-Lincoln-St_Arlington_VA_22204_M58140-13253,https://ap.rdcpix.com/08e365818ce62b61452f777f99605002l-m108201704x.jpg,"38.851352,-77.087436","Shirlington Station, Bay E",0.816,Pentagon City Metro,1.638,Charles Drew Comm. Center,0.186,Shirlington Library,0.76,Drew Model School,0.186,3.24,1.0,4.7,,Tobacco King & Vape King,7.0,3.742857142857143,2.0,Pupatella; Pizza Pie Me; Sushi House; China House; Shirlington halal pizza
