property_ID,Listing_ID,price,baths_half,baths_full,baths,beds,size_in_sqft,lot_size_in_sqft,prop_type,prop_sub_type,city,Line,postal_code,lat,lon,neighborhood_name,Listing_Url,thumbnail,LatLong,Num_bars,Mean_Rating_bars,Mean_PriceLevel_bars,Top_5_Rated_bars,Num_restaurants,Mean_Rating_restaurants,Mean_PriceLevel_restaurants,Top_5_Rated_restaurants
M6279126335,2922290856,270000,,2.0,2,2.0,1078.0,,condo,condos,Arlington,4600 S Four Mile Run Dr Apt 618,22204,38.85472,-77.10704,Columbia Forest,https://www.realtor.com/realestateandhomes-detail/4600-S-Four-Mile-Run-Dr-Apt-618_Arlington_VA_22204_M62791-26335,https://ap.rdcpix.com/b4353299b31df9ac25561f7690933102l-m2668983530x.jpg,"38.85472,-77.10704",7.0,4.228571428571429,2.0,"Tobacco King Of Vape, CBD, Kratom; Tobacco King & Vape King; Silver Diner - Alexandria; LongHorn Steakhouse; Olive Garden Italian Restaurant",41.0,3.9365853658536585,1.3157894736842106,Rawal Kabob; Blanca's Snow Cones - Shaved Ice; Pho Golden Star; The Broiler; The Perfect Pita
M5654908132,2922291030,384900,,2.0,2,2.0,1129.0,,condo,condos,Arlington,4500 S Four Mile Run Dr Apt 1023,22204,38.85391,-77.10504,Columbia Forest,https://www.realtor.com/realestateandhomes-detail/4500-S-Four-Mile-Run-Dr-Apt-1023_Arlington_VA_22204_M56549-08132,,"38.85391,-77.10504",7.0,4.085714285714286,2.0,Tobacco King & Vape King; Silver Diner - Alexandria; LongHorn Steakhouse; Olive Garden Italian Restaurant; Purple Lounge,45.0,3.9733333333333336,1.3658536585365855,Rawal Kabob; Pho Harmony & Grill; Blanca's Snow Cones - Shaved Ice; Pho Golden Star; Pupatella
M9628320822,2922290220,635000,1.0,2.0,3,3.0,1584.0,,condo,townhomes,Arlington,957 S Rolfe St Unit B,22204,38.86623,-77.075565,Penrose,https://www.realtor.com/realestateandhomes-detail/957-S-Rolfe-St-B_Arlington_VA_22204_M96283-20822,https://ap.rdcpix.com/ac3f6340a5ac512b57957b5e789fec68l-m3633057152x.jpg,"38.86623,-77.075565",15.0,4.153333333333333,1.9230769230769231,Tobacco King & Vape King; The Celtic House Irish Pub & Restaurant; Caspi Restaurant and Lounge; Bonefish Grill; L.A. Bar & Grill,71.0,4.0371428571428565,1.59375,Pho Harmony & Grill; Tortas Y Tacos La Chiquita; Burrito Bros; The Celtic House Irish Pub & Restaurant; Atilla's Restaurant
M5368795817,2922288316,329800,,1.0,1,2.0,1020.0,,condo,condos,Arlington,1830 Columbia Pike Apt 302,22204,38.864385999999996,-77.075836,South Arlington,https://www.realtor.com/realestateandhomes-detail/1830-Columbia-Pike-Apt-302_Arlington_VA_22204_M53687-95817,https://ap.rdcpix.com/9f76c303b48006b7445086f3d3530378l-m1210650799x.jpg,"38.864385999999996,-77.075836",15.0,4.153333333333333,1.9230769230769231,Tobacco King & Vape King; The Celtic House Irish Pub & Restaurant; Caspi Restaurant and Lounge; Bonefish Grill; L.A. Bar & Grill,72.0,4.039436619718309,1.5846153846153845,Pho Harmony & Grill; Tortas Y Tacos La Chiquita; Burrito Bros; The Celtic House Irish Pub & Restaurant; Atilla's Restaurant
M5458295160,2922286592,136000,,1.0,1,1.0,514.0,,condo,condos,Arlington,1021 Arlington Blvd Apt 516,22209,38.8912,-77.06872,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1021-Arlington-Blvd-Apt-516_Arlington_VA_22209_M54582-95160,,"38.8912,-77.06872",38.0,4.2351351351351365,2.212121212121212,Rosewood Washington DC; Blues Alley Club; Chez Billy Sud; City Tavern Club; Escape Room Live Georgetown,33.0,4.184848484848485,1.96875,Filomena Ristorante; Mele Bistro; Clyde's of Georgetown; Degrees Bistro; Five Guys
M9400195696,2922286015,299000,,1.0,1,1.0,711.0,,condo,condos,Arlington,1315 S Walter Reed Dr Unit 15103,22204,38.858509999999995,-77.087307,South Arlington,https://www.realtor.com/realestateandhomes-detail/1315-S-Walter-Reed-Dr-15103_Arlington_VA_22204_M94001-95696,https://ap.rdcpix.com/201b57d6b27d4c7f1b699912b8172460l-m2918345051x.jpg,"38.858509999999995,-77.087307",9.0,4.111111111111111,1.8571428571428572,Tobacco King & Vape King; The Celtic House Irish Pub & Restaurant; Caspi Restaurant and Lounge; L.A. Bar & Grill; William Jeffrey's Tavern,51.0,4.047058823529412,1.5121951219512195,Pho Harmony & Grill; Tortas Y Tacos La Chiquita; Burrito Bros; The Celtic House Irish Pub & Restaurant; Atilla's Restaurant
M5054774093,2922278278,380000,,2.0,2,2.0,1415.0,,condo,condos,Arlington,N Taylor St Unit 2012,22203,38.895179,-77.113615,Cherrydale,https://www.realtor.com/realestateandhomes-detail/2012-N-Taylor-St_Arlington_VA_22207_M50547-74093,https://ap.rdcpix.com/ddfa2eebdc5096d23a8f8ea4ad7765b1l-m2818335116x.jpg,"38.895179,-77.113615",14.0,4.046153846153846,1.8333333333333333,Cowboy Cafe; The Bronson Bierhall; The Melting Pot; Crafthouse; First Down Sports Bar & Grill,58.0,3.9719298245614043,1.62,Cafe Colline; Philippine Oriental Market & Deli; Arlington Kabob; The Italian Store; Stageplate Bistro - Arlington
M5954659477,2922276373,1348000,2.0,2.0,4,4.0,2539.0,9184.0,single_family,,Arlington,855 N Harrison St,22205,38.877648,-77.126627,Bluemont,https://www.realtor.com/realestateandhomes-detail/855-N-Harrison-St_Arlington_VA_22205_M59546-59477,https://ap.rdcpix.com/6296248559ed726cb5b38fd1f1c58c9el-m239568273x.jpg,"38.877648,-77.126627",24.0,4.195454545454544,1.9411764705882353,"Ballston Service Station; Trade Roots, Fair Trade Gift Shop, Coffee House, & Wine Bar; Westover Market; Crystal Thai Restaurant; Meridian Pint",46.0,4.13111111111111,1.6923076923076923,The Italian Store; La Union Restaurant; Lost Dog Cafe; Pupatella; Stageplate Bistro - Arlington
M9624323077,2922272968,590000,,2.0,2,2.0,1224.0,,condo,townhomes,Arlington,1114 N Taylor St Apt A,22201,38.884855,-77.113327,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/1114-N-Taylor-St-Apt-A_Arlington_VA_22201_M96243-23077,https://ap.rdcpix.com/b4f745eb3c14d3daa73cb9984b52f9d7l-m1944401045x.jpg,"38.884855,-77.113327",36.0,4.212121212121212,2.0,"Ballston Service Station; East West Coffee Wine; O'Sullivans Sundays-Free Comedy Open Mic Arlington,VA; Northside Social Coffee & Wine; Spirits of '76",74.0,4.083561643835617,1.6666666666666667,Cafe Colline; Philippine Oriental Market & Deli; La Union Restaurant; Northside Social Coffee & Wine; Pupatella
M5292138703,2922272517,649900,1.0,1.0,2,2.0,934.0,,condo,condos,Arlington,1201 N Garfield St Apt 810,22201,38.88685,-77.09375,North Arlington,https://www.realtor.com/realestateandhomes-detail/1201-N-Garfield-St-Apt-810_Arlington_VA_22201_M52921-38703,https://ap.rdcpix.com/44bbbc5d535cec4cf6b486f4f13df490l-m3732840635x.jpg,"38.88685,-77.09375",54.0,4.337735849056603,1.9,"Ms. Peacock's Champagne Lounge; Arlington Pub; East West Coffee Wine; O'Sullivans Sundays-Free Comedy Open Mic Arlington,VA; Screwtop Wine Bar",88.0,4.165909090909092,1.6829268292682926,Philippine Oriental Market & Deli; Screwtop Wine Bar; The Italian Store; Troy's Italian Kitchen; Ambar Clarendon
