,X,Y,OBJECTID,CODE,NAME,SYMBOL,SENIORCENTER,ADDRESS,point_LatLong
0,11878042.62,7003942.38,1,5,Barrett Elementary School,ES,0,"4401 HENDERSON RD, Arlington, VA","38.7374632,-77.3658339"
1,11869967.88,7019959.34,2,5,Jamestown Elementary School,ES,0,"3700 N DELAWARE ST, Arlington, VA","38.9171389,-77.13940707620779"
2,11872958.5,7001148.27,3,5,Kenmore Middle School,MS,0,"200 S CARLIN SPRINGS RD, Arlington, VA","38.8655225,-77.12982188801412"
3,11885107.01,7011102.89,4,5,Key Elementary School,ES,0,"2300 KEY BLVD, Arlington, VA","38.892359150000004,-77.08683095308349"
4,11869021.3,7011670.54,5,6,Lee Comm. Center,CC,1,"5722 LEE HWY, Arlington, VA","38.8959293,-77.0962003"
5,11875123.1,6999486.11,6,14,Long Branch Nature Center,NC,0,"625 S CARLIN SPRINGS RD, Arlington, VA","38.86021768765634,-77.12764435180351"
6,11884549.53,7004803.1,7,5,Long Branch Elementary School,ES,0,"33 N FILLMORE ST, Arlington, VA","38.8750278,-77.08912786277969"
7,11877509.47,7003987.44,8,6,Lubber Run Comm. Center,CC,0,"300 N PARK DR, Arlington, VA","38.872374,-77.113718"
8,11874489.83,7022244.22,9,6,Madison Comm. Center,CC,1,"3829 N STAFFORD ST, Arlington, VA","38.92412915,-77.12370068434137"
9,11868145.15,7005867.76,10,5,McKinley Elementary School,ES,0,"1030 N MCKINLEY RD, Arlington, VA","38.87869,-77.14673"
10,11866838.97,7013862.63,11,5,Nottingham Elementary School,ES,0,"1601 WILSON BLVD, Arlington, VA","38.894444,-77.076907"
11,11890042.46,6995922.83,12,5,Oakridge Elementary School,ES,0,"1414 24TH ST S, Arlington, VA","38.8503668,-77.0703241905238"
12,11880715.87,7010261.12,13,5,Arlington Science Focus School,AES,0,"1501 N LINCOLN ST, Arlington, VA","38.88968415,-77.10254414447493"
13,11870332.9,7007531.37,14,5,Swanson Middle School,MS,0,"5800 WASHINGTON BLVD, Arlington, VA","38.88314525,-77.13891486486648"
14,11877397.58,7016252.47,15,5,Taylor Elementary School,ES,0,"2600 N STUART ST, Arlington, VA","38.90625650630321,-77.11311227907109"
15,11864545.04,7010798.62,16,5,Tuckahoe Elementary School,ES,0,"6550 26TH ST N, Arlington, VA","38.89237975,-77.15916227894948"
16,11879914.92,6994767.21,17,5,Claremont Elementary School,AES,0,"4700 S CHESTERFIELD RD, Arlington, VA","38.8476962,-77.10562131594764"
17,11871280.44,7003830.07,18,5,Ashlawn Elementary School,ES,0,"5950 8TH RD N, Arlington, VA","38.872979799999996,-77.13609220488087"
18,11867952.7,7017178.81,19,5,Williamsburg Middle School,MS,0,"3600 N HARRISON ST, Arlington, VA","38.90958775,-77.14701939893924"
19,11869900.92,7014709.23,20,5,Yorktown High School,HS,0,"5201 N 28TH ST, Arlington, VA","39.8202941,-89.609085"
20,11882000.9,7014723.98,21,7,Woodmont,OC,0,"2422 N FILLMORE ST, Arlington, VA","38.90128010268862,-77.09714785802835"
21,11882905.55,6991879.73,22,5,Abingdon Elementary School,ES,0,"3035 S ABINGDON ST, Arlington, VA","38.8395744,-77.09568"
22,11879323.6,6999817.12,23,5,Barcroft Elementary School,ES,0,"625 S WAKEFIELD ST, Arlington, VA","38.86167,-77.10784"
23,11886275.23,7013627.37,24,6,Dawson Terrace Comm.,CC,0,"2133 N TAFT ST, Arlington, VA","38.899401999999995,-77.0828525181941"
24,11875227.96,7006393.99,25,5,Arlington Traditional School,AES,0,"855 N EDISON ST, Arlington, VA","38.87989475,-77.12185609898268"
25,11885408.61,6990079.26,26,6,Fairlington Comm. Center,CC,0,"3308 S STAFFORD ST, Arlington, VA","38.83448105,-77.08754703333213"
26,11894053.04,6993396.26,27,4,Water Pollution Control Plant,CO,0,"3402 S GLEBE RD, Arlington, VA","38.8429228,-77.0571411119639"
27,11873633.64,7009767.82,28,8,Arlington Hospital,H,0,"1701 N GEORGE MASON DR, Arlington, VA","38.88977955,-77.12755415946859"
28,11885651.55,7010665.6,29,3,Arl. Courthouse Metro,MOS,0,"2100 WILSON BLVD, Arlington, VA","38.891457,-77.085"
29,11882084.03,6997948.27,30,5,Randolph Elementary School,ES,0,"1306 S QUINCY ST, Arlington, VA","38.8569348,-77.0985353"
30,11874043.19,6999384.43,31,8,Arlington Urgent Care,H,0,"601 S CARLIN SPRINGS RD, Arlington, VA","38.8594124,-77.1260633"
31,11890210.06,6995054.88,32,5,Gunston Middle School,MS,0,"2700 S LANG ST, Arlington, VA","38.8481522,-77.06949367866847"
32,11890530.89,6994948.64,33,6,Gunston Center,CC,0,"2700 S LANG ST, Arlington, VA","38.8481522,-77.06949367866847"
33,11880852.89,7007224.54,34,7,Arlington Art Center,OC,0,"3550 WILSON BLVD, Arlington, VA","38.8818362,-77.1020915"
34,11883910.41,7014412.03,35,7,Ft. Smith Park,OC,0,"2411 24TH ST N, Arlington, VA","38.90091022369124,-77.08952895418636"
35,11879477.73,7008095.02,36,2,Central Library,LB,0,"1015 N QUINCY ST, Arlington, VA","38.8837874,-77.10718380825281"
36,11885663.54,7010177.6,37,4,Court Square West,CO,0,"1400 N UHLE ST, Arlington, VA","38.889679,-77.084708"
37,11865283.17,7008493.27,38,3,East Falls Church Metro,MOS,0,"2001 N SYCAMORE ST, Arlington, VA","38.8859763,-77.1568243"
38,11878195.56,7007214.44,39,3,Ballston Metro,MOS,0,"4230 FAIRFAX DR, Arlington, VA","38.88202732703627,-77.11235952810418"
39,11880485.02,7007616.69,40,3,Virginia Square Metro,MOS,0,"3600 FAIRFAX DR, Arlington, VA","38.8877487,-77.1624503"
40,11882760.36,7009166.22,41,3,Clarendon Metro,MOS,0,"3100 WILSON BLVD, Arlington, VA","38.887075,-77.0952496"
41,11889382.94,7012478.16,42,3,Rosslyn Metro,MOBS,0,"1850 N MOORE ST, Arlington, VA","38.89657009983958,-77.07165000116399"
42,11891825.24,7008281.63,43,3,Arlington Nat. Cem. Metro,MB,0,"1000 N MEMORIAL DR, Arlington, VA","38.8850526,-77.0618106"
43,11894451.93,7002816.08,44,3,Pentagon Metro,MYB,0,"Pentagon Metro Station, Arlington, VA","38.8685095,-77.0545891"
44,11892965.95,7000423.38,45,3,Pentagon City Metro,MYB,0,"1250 S HAYES ST, Arlington, VA","38.862570649999995,-77.06061449180334"
45,11895386.53,6998772.48,46,3,Crystal City Metro,MYB,0,"1750 S CLARK ST, Arlington, VA","38.85947356904292,-77.05130210813338"
46,11897432.99,6997455.51,47,3,National Airport Metro,MYB,0,"2400 SMITH BLVD, Arlington, VA","38.8536,-77.0441"
47,11885407.22,7010399.77,48,2,Plaza Library & Arlington Shop,LB,0,"2100 CLARENDON BLVD, Arlington, VA","38.891013,-77.08552"
48,11878019.88,6998109.07,49,6,Arlington Mill Community Center,CC,1,"4975 COLUMBIA PIKE, Arlington, VA","38.856083453662755,-77.1111621960729"
49,11881082.83,6995878.42,50,6,Barcroft Sport & Fitness Center,CC,0,"4200 S FOUR MILE RUN DR, Arlington, VA","38.85061705,-77.10201081976899"
50,11878263.49,7003106.11,51,7,Culpepper Garden Center,OC,1,"4435 N PERSHING DR, Arlington, VA","38.8706363,-77.11131194957349"
51,11878581.27,6994913.48,52,9,Wakefield High School Swimming Pool,SP,0,"4901 S CHESTERFIELD RD, Arlington, VA","38.846975,-77.108013"
52,11869588.49,7014425.45,53,9,Yorktown High School Swimming Pool,SP,0,"5201 N 28TH ST, Arlington, VA","39.8202941,-89.609085"
53,11869196.79,7003096.79,54,9,Upton Hills Regional Park Swimming Pool,SP,0,"6060 WILSON BLVD, Arlington, VA","38.8933495,-77.0678182"
54,11882755.56,7008593.47,55,10,Arlington Post Office,PO,0,"3118 WASHINGTON BLVD, Arlington, VA","38.8754844,-77.0575634"
55,11880228.57,7004261.63,56,10,Buckingham,PO,0,"235 N GLEBE RD, Arlington, VA","38.9253887,-77.1206076"
