,BarName,AddressVicinity,PriceLevel,Rating,BusinessStatus,LatLong
0,DC Boathouse,"5441 MacArthur Boulevard Northwest, Washington",2.0,4.3,OPERATIONAL,"38.93004199999999,-77.106494"
1,Lebanese Taverna,"5900 Washington Boulevard, Arlington",2.0,4.4,OPERATIONAL,"38.8856145,-77.1422699"
2,Cowboy Cafe,"4792 Lee Highway, Arlington",1.0,4.4,OPERATIONAL,"38.8967156,-77.1252583"
3,Taqueria El Poblano,"2503A North Harrison Street, Arlington",1.0,4.0,OPERATIONAL,"38.8976061,-77.138786"
4,Westover Market,"5863 Washington Boulevard, Arlington",2.0,4.5,OPERATIONAL,"38.885656,-77.140967"
5,Thirsty Bernie,"2163 North Glebe Road, Arlington",2.0,4.1,OPERATIONAL,"38.8972222,-77.1225"
6,"Trade Roots, Fair Trade Gift Shop, Coffee House, & Wine Bar","5852 Washington Boulevard, Arlington",,4.8,OPERATIONAL,"38.8852507,-77.1412641"
7,Thai Thai Restaurant,"5123 Lee Highway, Arlington",1.0,4.2,OPERATIONAL,"38.896639,-77.1315323"
8,Stray Cat Cafe,"5866 Washington Boulevard, Arlington",1.0,4.4,OPERATIONAL,"38.8852778,-77.1416667"
9,Todd Alley,"5119 25th Road North, Arlington",,4.8,OPERATIONAL,"38.8993242,-77.1339847"
10,The Forest Inn,"5849 Washington Boulevard, Arlington",,4.3,OPERATIONAL,"38.88549140000001,-77.1406967"
11,Dogwood Tavern,"132 West Broad Street, Falls Church",2.0,4.4,OPERATIONAL,"38.88299199999999,-77.17197159999999"
12,Ireland's Four Provinces,"105 West Broad Street, Falls Church",2.0,4.5,OPERATIONAL,"38.8824021,-77.17181269999999"
13,Clare & Don's Beach Shack,"130 North Washington Street, Falls Church",2.0,4.5,OPERATIONAL,"38.8826624,-77.17016269999999"
14,Chasin' Tails,"2200 North Westmoreland Street, Arlington",2.0,4.4,OPERATIONAL,"38.88655000000001,-77.162949"
17,Northside Social Falls Church,"205 Park Avenue, Falls Church",2.0,4.4,OPERATIONAL,"38.88413480000001,-77.17194959999999"
19,Meridian Pint,"6035 Wilson Boulevard, Arlington",2.0,4.4,OPERATIONAL,"38.8739519,-77.1405619"
20,Uncle Julio's,"4301 Fairfax Drive #100, Arlington",2.0,4.2,OPERATIONAL,"38.882431,-77.112983"
21,Buffalo Wild Wings,"950 North Glebe Road #130, Arlington",2.0,3.3,OPERATIONAL,"38.88151610000001,-77.1162063"
22,The Melting Pot,"1110 North Glebe Road, Arlington",3.0,4.4,OPERATIONAL,"38.8840717,-77.1169676"
23,Rustico Ballston,"4075 Wilson Boulevard, Arlington",2.0,4.3,OPERATIONAL,"38.8801782,-77.1084666"
25,First Down Sports Bar & Grill,"4213 Fairfax Drive, Arlington",1.0,4.3,OPERATIONAL,"38.882406,-77.111256"
27,Mussel Bar & Grille,"800 North Glebe Road, Arlington",2.0,4.3,OPERATIONAL,"38.88,-77.1147222"
29,Grand Cru Wine Bar and Bistro,"4301 Wilson Boulevard #100, Arlington",2.0,4.3,OPERATIONAL,"38.8807971,-77.1127432"
30,Outback Steakhouse,"4821 North, 1st Street North, Arlington",2.0,4.0,OPERATIONAL,"38.86769200000001,-77.1174846"
31,Pizza Roma,"4219 Fairfax Drive, Arlington",2.0,3.4,OPERATIONAL,"38.8825105,-77.111362"
32,Crystal Thai Restaurant,"4819 1st Street North, Arlington",2.0,4.4,OPERATIONAL,"38.867763,-77.117374"
34,World of Beer,"901 North Glebe Road #105, Arlington",2.0,4.3,CLOSED_TEMPORARILY,"38.8816817,-77.1153451"
35,Crafthouse,"901 North Glebe Road #105, Arlington",2.0,4.3,OPERATIONAL,"38.8814934,-77.11533519999999"
40,Olive Garden Italian Restaurant,"3548 South Jefferson Street #52, Falls Church",2.0,4.2,OPERATIONAL,"38.84699069999999,-77.11894110000001"
44,QDOBA Mexican Eats,"5872 Crossroads Center Way, Falls Church",1.0,4.5,OPERATIONAL,"38.85263940000001,-77.1319459"
45,LongHorn Steakhouse,"3562 South Jefferson Street, Falls Church",2.0,4.2,OPERATIONAL,"38.8477787,-77.1190932"
46,Laze Cafe,"5820 Seminary Road unit N, Falls Church",,4.6,OPERATIONAL,"38.8473877,-77.12765370000001"
47,Zaaki Restaurant & Cafe,"6020 Leesburg Pike, Falls Church",2.0,3.8,OPERATIONAL,"38.8557817,-77.13833679999999"
48,Dewan Cafe,"3403 Payne Street, Falls Church",,3.6,OPERATIONAL,"38.8529466,-77.1320825"
49,"Tobacco King Of Vape, CBD, Kratom","5520 Leesburg Pike, SUITE# A, Falls Church",,4.9,OPERATIONAL,"38.8484674,-77.1231354"
50,Punch Bowl Social Arlington,"4238 Wilson Boulevard Ste 1180, Arlington",2.0,4.0,CLOSED_TEMPORARILY,"38.8788257,-77.1112114"
51,Ricky's Pub & Grill,"237 North Glebe Road, Arlington",,4.4,OPERATIONAL,"38.8737431,-77.1043706"
52,Silver Leaf Restaurant and Bar,"4610 Fairfax Drive, Arlington",,3.0,CLOSED_TEMPORARILY,"38.8816595,-77.1174984"
53,Busboys And Poets,"4251 Campbell Avenue, Arlington",2.0,4.5,OPERATIONAL,"38.8413075,-77.0895182"
55,T.H.A.I. In Shirlington Restaurant,"4029 Campbell Avenue, Arlington",2.0,4.4,OPERATIONAL,"38.841148,-77.08785600000002"
56,Samuel Beckett's Irish Gastro Pub,"2800 South Randolph Street #110, Arlington",2.0,4.4,OPERATIONAL,"38.8406442,-77.0892288"
57,Cheesetique Shirlington,"4024 Campbell Avenue, Arlington",2.0,4.5,OPERATIONAL,"38.84059,-77.0875963"
58,Copperwood Tavern,"4021 Campbell Avenue, Arlington",2.0,4.3,OPERATIONAL,"38.8411444,-77.0876694"
59,"Fairouz Lounge, Sports Bar & Restaurant","3815 South George Mason Drive, Falls Church",2.0,4.4,OPERATIONAL,"38.8411994,-77.11937"
60,TGI Fridays,"4650 King Street, Alexandria",2.0,3.5,OPERATIONAL,"38.8418722,-77.10848039999999"
61,Ichiban Sushi & Ramen,"4251 Campbell Avenue, Arlington",2.0,4.3,OPERATIONAL,"38.8414646,-77.0895034"
62,Tobacco King & Vape King,"1609 South Glebe Road, Arlington",,4.7,OPERATIONAL,"38.8561156,-77.0887778"
