,BusStopName,AddressVicinity,LatLong
0,"N George Mason Drive, SB @ 16th Street N, NS",United States,"38.887832,-77.128342"
1,N Glebe Rd + 20th St,United States,"38.89426,-77.121127"
2,E Falls Church Station + Bus Bay C,United States,"38.886376,-77.156943"
3,E Falls Church Station + Bus Bay D,United States,"38.886297,-77.15671499999999"
4,W Broad St + N Virginia Ave,United States,"38.885146,-77.175443"
5,"N George Mason Drive, SB @ 16th Street N, NS",United States,"38.887832,-77.128342"
6,Ballston Station + Bus Bay D,United States,"38.88194000000001,-77.111673"
7,Ballston Station + Bus Bay C,United States,"38.881745,-77.111651"
8,Ballston Station + Bus Bay B,United States,"38.881562,-77.111629"
9,N Glebe Rd + 20th St,United States,"38.89426,-77.121127"
10,Washington Blvd + Stafford St,United States,"38.885569,-77.11068"
11,Washington Blvd & N Quincy St,United States,"38.88582299999999,-77.109139"
12,Washington Blvd + N Quincy St,United States,"38.886066,-77.10852799999999"
13,Rt 7 Leesburg PK + Washington Dr,United States,"38.85305339999999,-77.1345163"
14,Rt 7 Leesburg PK + Baileys Crossroads S/C,United States,"38.851742,-77.13221999999999"
15,N Pershing Dr + N Glebe Rd,United States,"38.8736945,-77.10562440000001"
16,Shirlington Station,United States,"38.8394179,-77.0872697"
17,S George Mason Dr + #3713,United States,"38.842348,-77.118099"
18,"Shirlington Station, Bay E",United States,"38.83954,-77.08726"
19,Shirlington Station,United States,"38.8394179,-77.0872697"
20,"Shirlington Station, Bay E",United States,"38.83954,-77.08726"
21,Shirlington Station,United States,"38.8394179,-77.0872697"
22,"Shirlington Station, Bay E",United States,"38.83954,-77.08726"
23,S Clark St + 23rd St,United States,"38.85382159999999,-77.05217379999999"
24,Pentagon City Station + Bus Bay C,United States,"38.862624,-77.059305"
25,S Hayes St & 12th St S,United States,"38.8627153,-77.05918009999999"
26,"Crystal Drive, NB @ VRE Station",United States,"38.857872,-77.049105"
27,"Army Navy Drive, WB @ S Fern Street, NS",United States,"38.86524600000001,-77.056321"
28,S Clark St + 23rd St,United States,"38.85382159999999,-77.05217379999999"
29,"Crystal Drive, NB @ VRE Station",United States,"38.857872,-77.049105"
30,Pentagon City Station + Bus Bay C,United States,"38.862624,-77.059305"
31,S Hayes St & 12th St S,United States,"38.8627153,-77.05918009999999"
32,"Army Navy Drive, WB @ S Fern Street, NS",United States,"38.86524600000001,-77.056321"
33,Metro Pentagon Bay L4,United States,"38.86829700000001,-77.055097"
34,Pentagon Station & Bus Bay U9,Arlington,"38.8692568,-77.05361649999999"
35,Pentagon Metrorail Station (Bus Bay L7),United States,"38.86912400000001,-77.0563626"
36,Pentagon Metrorail Station (Bus Bay L7),United States,"38.86912400000001,-77.0563626"
37,Pentagon Station & Bus Bay U9,Arlington,"38.8692568,-77.05361649999999"
38,Metro Pentagon Bay L4,United States,"38.86829700000001,-77.055097"
39,"Army Navy Drive, WB @ S Fern Street, NS",United States,"38.86524600000001,-77.056321"
40,S Hayes St & 12th St S,United States,"38.8627153,-77.05918009999999"
41,Pentagon City Station + Bus Bay C,United States,"38.862624,-77.059305"
42,"Crystal Drive, NB @ VRE Station",United States,"38.857872,-77.049105"
43,"Wilson Blvd, WB @ N Quinn Street, FS",United States,"38.89409,-77.07844"
44,N Moore St + Rosslyn Station Bus Bay C,United States,"38.89565399999999,-77.071601"
45,N Moore St & Rosslyn Station Bus Bay D,United States,"38.896332,-77.071643"
46,Bus Collection Point I/B,United States,"38.896931,-77.071564"
47,"Clarendon Blvd, EB @ N Uhle Street, NS",United States,"38.89131,-77.08502"
48,Wilson Blvd + Veitch St,United States,"38.89146499999999,-77.08551299999999"
49,Wilson Blvd + Veitch St,United States,"38.89146499999999,-77.08551299999999"
50,"Clarendon Blvd, EB @ N Uhle Street, NS",United States,"38.89131,-77.08502"
51,"Wilson Blvd, WB @ N Quinn Street, FS",United States,"38.89409,-77.07844"
52,Washington Blvd + N Quincy St,United States,"38.886066,-77.10852799999999"
53,Washington Blvd & N Quincy St,United States,"38.88582299999999,-77.109139"
54,Washington Blvd + Stafford St,United States,"38.885569,-77.11068"
55,Ballston Station + Bus Bay D,United States,"38.88194000000001,-77.111673"
56,Ballston Station + Bus Bay C,United States,"38.881745,-77.111651"
57,Ballston Station + Bus Bay B,United States,"38.881562,-77.111629"
58,N Moore St + Rosslyn Station Bus Bay C,United States,"38.89565399999999,-77.071601"
59,N Moore St & Rosslyn Station Bus Bay D,United States,"38.896332,-77.071643"
60,N Glebe Rd + 20th St,United States,"38.89426,-77.121127"
61,Washington Blvd + N Quincy St,United States,"38.886066,-77.10852799999999"
62,Washington Blvd & N Quincy St,United States,"38.88582299999999,-77.109139"
63,Washington Blvd + Stafford St,United States,"38.885569,-77.11068"
64,N Glebe Rd + 20th St,United States,"38.89426,-77.121127"
65,"N George Mason Drive, SB @ 16th Street N, NS",United States,"38.887832,-77.128342"
66,Washington Blvd + Stafford St,United States,"38.885569,-77.11068"
67,Washington Blvd & N Quincy St,United States,"38.88582299999999,-77.109139"
68,Washington Blvd + N Quincy St,United States,"38.886066,-77.10852799999999"
69,Ballston Station + Bus Bay D,United States,"38.88194000000001,-77.111673"
70,Ballston Station + Bus Bay C,United States,"38.881745,-77.111651"
71,Ballston Station + Bus Bay B,United States,"38.881562,-77.111629"
72,Washington Blvd + N Quincy St,United States,"38.886066,-77.10852799999999"
73,Washington Blvd & N Quincy St,United States,"38.88582299999999,-77.109139"
74,Washington Blvd + Stafford St,United States,"38.885569,-77.11068"
75,Ballston Station + Bus Bay D,United States,"38.88194000000001,-77.111673"
76,Ballston Station + Bus Bay C,United States,"38.881745,-77.111651"
77,Ballston Station + Bus Bay B,United States,"38.881562,-77.111629"
78,N Pershing Dr + N Glebe Rd,United States,"38.8736945,-77.10562440000001"
79,N Glebe Rd + 20th St,United States,"38.89426,-77.121127"
80,Wilson Blvd + Veitch St,United States,"38.89146499999999,-77.08551299999999"
81,"Clarendon Blvd, EB @ N Uhle Street, NS",United States,"38.89131,-77.08502"
82,"N George Mason Drive, SB @ 16th Street N, NS",United States,"38.887832,-77.128342"
83,N Pershing Dr + N Glebe Rd,United States,"38.8736945,-77.10562440000001"
84,Pentagon City Station + Bus Bay C,United States,"38.862624,-77.059305"
85,S Hayes St & 12th St S,United States,"38.8627153,-77.05918009999999"
86,Washington Blvd + N Quincy St,United States,"38.886066,-77.10852799999999"
87,Washington Blvd & N Quincy St,United States,"38.88582299999999,-77.109139"
88,Wilson Blvd + Veitch St,United States,"38.89146499999999,-77.08551299999999"
89,"Clarendon Blvd, EB @ N Uhle Street, NS",United States,"38.89131,-77.08502"
90,Washington Blvd + Stafford St,United States,"38.885569,-77.11068"
91,Ballston Station + Bus Bay D,United States,"38.88194000000001,-77.111673"
92,Ballston Station + Bus Bay C,United States,"38.881745,-77.111651"
93,Ballston Station + Bus Bay B,United States,"38.881562,-77.111629"
94,N Pershing Dr + N Glebe Rd,United States,"38.8736945,-77.10562440000001"
95,"Wilson Blvd, WB @ N Quinn Street, FS",United States,"38.89409,-77.07844"
96,Potomac Ave + Reed Ave,United States,"38.837053,-77.049033"
97,E Glebe Rd + Potomac Ave,United States,"38.83259799999999,-77.04824099999999"
98,Seven Corners Transit Center + Bus Bay A,United States,"38.870758,-77.15290499999999"
99,Leesburg PK + Castle Rd,United States,"38.86987999999999,-77.154249"
